company_name,company_website,city,active_project,project_type,project_url,approximate_unit_count,target_market,current_digital_experience,identified_problem,opportunity_for_our_product,public_contact_name,public_contact_role,public_business_email,public_business_phone,linkedin_company_url,instagram_url,source_1,source_2,last_verified_date,lead_score,priority,recommended_channel,personalized_demo_angle,notes
"Taboug Building","","Agadir","Non vérifié — projets résidentiels neufs mentionnés par une source spécialisée locale","Résidentiel neuf (source tierce)","","Non publié","Moyen standing, Agadir (source tierce)","Non vérifié — aucun site officiel identifié","À qualifier","Marché d'Agadir en forte activité (livraisons 2025-2027). À confirmer avant tout contact.","","","","","","","https://agadirimmobilier.org/2025/05/26/%F0%9F%8F%97%EF%B8%8F-les-promoteurs-immobiliers-a-agadir-panorama-des-acteurs-du-marche/","","2026-07-24","48","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique, aucun site officiel, aucune coordonnée."
"Al Houda Groupe","","Marrakech","3 projets référencés par un portail immobilier marocain","Non vérifié","","3 projets référencés","Non vérifié","Non vérifié","À qualifier","Portefeuille de 3 projets sur une ville prioritaire. À vérifier avant contact.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","45","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail). Aucun site officiel ni coordonnée relevés."
"Kayaz Invest","","Casablanca","2 projets référencés par un portail immobilier marocain","Non vérifié","","2 projets référencés","Non vérifié","Non vérifié","À qualifier","Ville prioritaire. À vérifier avant contact.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","43","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail)."
"Abraj Développement","","Casablanca","2 projets référencés par un portail immobilier marocain","Non vérifié","","2 projets référencés","Non vérifié","Non vérifié","À qualifier","Ville prioritaire. À vérifier avant contact.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","43","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail)."
"New Horizon","","Casablanca","2 projets référencés par un portail immobilier marocain","Non vérifié","","2 projets référencés","Non vérifié","Non vérifié","À qualifier","Ville prioritaire. À vérifier avant contact.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","43","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail)."
"Canal Iskane","","Casablanca","2 projets référencés par un portail immobilier marocain","Non vérifié","","2 projets référencés","Non vérifié","Non vérifié","À qualifier","Ville prioritaire. À vérifier avant contact.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","43","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail)."
"BLR Promotion","","Casablanca","1 projet référencé par un portail immobilier marocain","Non vérifié","","1 projet référencé","Non vérifié","Non vérifié","À qualifier","Ville prioritaire mais portefeuille réduit. Faible priorité.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","38","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail)."
"Les Iris","","Mohammedia","2 projets référencés par un portail immobilier marocain","Non vérifié","","2 projets référencés","Non vérifié","Non vérifié","À qualifier","Ville prioritaire. À vérifier avant contact.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","43","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail)."
"Arena Immobilier","","Kénitra","3 projets référencés par un portail immobilier marocain","Non vérifié","","3 projets référencés","Non vérifié","Non vérifié","À qualifier","Ville prioritaire, 3 projets. À vérifier avant contact.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","45","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail)."
"El Jirari Groupe","","Kénitra","2 projets référencés par un portail immobilier marocain","Non vérifié","","2 projets référencés","Non vérifié","Non vérifié — page Facebook professionnelle identifiée","À qualifier","Ville prioritaire. Page Facebook professionnelle repérée mais non vérifiée en détail.","","","","","","","https://www.chridari.ma/fr/promoters","https://www.facebook.com/eljirarigroupeofficiel/","2026-07-24","45","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : aucun site officiel ni coordonnée relevés."
"Atik Immobilier","","Marrakech","3 projets référencés par un portail immobilier marocain","Non vérifié","","3 projets référencés","Non vérifié","Non vérifié","À qualifier","Ville prioritaire, 3 projets. À vérifier avant contact.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","45","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail)."
"Tasnime Immobilier","","Marrakech","2 projets référencés par un portail immobilier marocain","Non vérifié","","2 projets référencés","Non vérifié","Non vérifié","À qualifier","Ville prioritaire. À vérifier avant contact.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","43","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail)."
"Signature Immobilier","","Marrakech","1 projet référencé par un portail immobilier marocain","Non vérifié","","1 projet référencé","Non vérifié","Non vérifié","À qualifier","Ville prioritaire mais portefeuille réduit.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","38","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail)."
"Odyssey Immo","","Marrakech","1 projet référencé par un portail immobilier marocain","Non vérifié","","1 projet référencé","Non vérifié","Non vérifié","À qualifier","Ville prioritaire mais portefeuille réduit.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","38","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail)."
"Goldstar Résidences","","Marrakech","1 projet référencé par un portail immobilier marocain","Non vérifié","","1 projet référencé","Non vérifié","Non vérifié","À qualifier","Ville prioritaire mais portefeuille réduit.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","38","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail)."
"Talmoust Immobilier","","Kénitra","1 projet référencé par un portail immobilier marocain","Non vérifié","","1 projet référencé","Non vérifié","Non vérifié","À qualifier","Ville prioritaire mais portefeuille réduit.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","38","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail)."
"Palast Building","","Agadir","1 projet référencé par un portail immobilier marocain","Non vérifié","","1 projet référencé","Non vérifié","Non vérifié","À qualifier","Ville prioritaire mais portefeuille réduit.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","38","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail)."
"Groupe Belkhayat Immobilier","","Fès","3 projets référencés par un portail immobilier marocain","Non vérifié","","3 projets référencés","Non vérifié","Non vérifié","À qualifier","Hors zone prioritaire mais portefeuille de 3 projets.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","40","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail). Fès hors des 9 villes prioritaires."
"Groupe Ryham","","Fès","2 projets référencés par un portail immobilier marocain","Non vérifié","","2 projets référencés","Non vérifié","Non vérifié","À qualifier","Hors zone prioritaire.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","38","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail). Fès hors des 9 villes prioritaires."
"Groupe Belhaj Liliskane","","Tanger","1 projet référencé par un portail immobilier marocain","Non vérifié","","1 projet référencé","Non vérifié","Non vérifié","À qualifier","Ville prioritaire mais portefeuille réduit. Vérifier qu'il ne s'agit pas d'une entité liée à Chaabi Lil Iskane.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","38","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail). Risque d'homonymie avec Chaabi Lil Iskane : à lever avant contact."
"Arab Maroc Bâtiment","","Marrakech","1 projet référencé par un portail immobilier marocain","Non vérifié","","1 projet référencé","Non vérifié","Non vérifié","À qualifier","Ville prioritaire mais portefeuille réduit.","","","","","","","https://www.chridari.ma/fr/promoters","","2026-07-24","38","C","Recherche complémentaire requise","Aucune démonstration avant qualification.","Non vérifié : source unique (portail)."
